BRCA	HNSC	KIRC	KIRP	LIHC	LUSC	PRAD	STAD	THCA
hsa-let-7a-1	-0.174061353884278	-0.304652816920448	-0.0446978304838315	-0.0528551773071012	0.222318191414386	-0.599427006406989	0.124684697383369	-0.731856958915907	0.131750093418058
hsa-let-7a-2	-0.176955493216846	-0.308949314248208	-0.0450588591495372	-0.0523757288410571	0.224160916992576	-0.595934919060521	0.122905143458767	-0.733854076246771	0.131301327180302
hsa-let-7a-3	-0.173899828675142	-0.304631694487566	-0.0473277345878788	-0.0556160021964717	0.223708851650391	-0.593375884349981	0.120444701580471	-0.731826275999484	0.13321745919648
hsa-let-7b	-0.154926294613004	-0.0123764377340837	0.593291660724537	-0.231106693362868	-0.107276714712069	-0.309379443453662	-0.156083978175299	-0.650388513914133	-0.515521475469508
hsa-let-7c	-1.72380344647686	-1.8860485791309	-0.243702855830291	-0.134607659229859	-0.721136752152325	-0.98880013690885	-0.397724996193178	-1.36614924814572	-0.31001322130195
hsa-let-7d	0.191051894898984	0.442020422229138	-0.057436713153322	0.239494796767338	0.455952688449505	0.324938192570213	0.0501726990281075	0.172282705348963	0.394035410928928
hsa-let-7e	0.309680084018891	0.23632125521826	-0.825273876692602	-0.0144504667218649	0.463458654812666	-0.0665365534124093	-0.319473308530639	-1.12217222200349	0.952976971631445
hsa-let-7f-1	-0.0312406132092224	-0.263883803245454	-0.117214929765373	0.261668015172165	0.433423865847859	-0.425315471520469	-0.131608446618556	-0.518910371460519	0.338744733178798
hsa-let-7f-2	-0.0218387124002258	-0.2632528675055	-0.12500789893913	0.259933451264329	0.432194928560841	-0.422035406330238	-0.113150226259744	-0.520460972381359	0.340657512926407
hsa-let-7g	0.195409143603046	-0.44670197600667	-0.695527246686038	0.0892539600753291	-0.0119558898442767	-0.0640157685657798	-0.0602122175319442	-0.273255796853483	0.0745326571470984
hsa-let-7i	-0.336400745243324	0.228218681375324	0.607245974540531	0.928547550680149	0.331682866548033	0.0829337116998227	-0.181280056967808	-0.0182532010145889	0.161354109903708
hsa-mir-1-1	-7.050537240694	-2.67570775797691	-1.35289439310704	-1.66596667360797	0.333499500366657	-2.57741261331346	-0.957927766794829	-2.8557348856784	-0.203924150943922
hsa-mir-1-2	-7.01610090078181	-2.68393932052049	-1.37522684577245	-1.65650965227611	0.265587570592993	-2.43936961038726	-0.975291706263027	-2.89891212364099	-0.236695417366535
hsa-mir-100	-1.74758711482	-1.48295711896541	0.191805800762542	-0.3313167239989	0.18547360058769	-1.07229771007626	-0.571141628334814	-1.36842029666695	-0.605923925592696
hsa-mir-101-1	-0.271512898030853	-1.85441248780306	0.348733673602837	-0.198392017114021	-0.854937006113015	-1.62951908461096	-0.244186410783688	-0.764851455615663	0.0826902411391383
hsa-mir-101-2	-0.282287561017568	-1.8582871262194	0.348775382491924	-0.203094459477089	-0.854432251317922	-1.63563635967161	-0.243107815621199	-0.774199012315059	0.0836380342509695
hsa-mir-103a-1	0.393294419143123	0.533992913198262	0.113875772884992	0.485318827046146	0.681539451124175	0.00413562632756251	0.148687842053167	0.172706831171095	0.258765256688116
hsa-mir-103a-2	0.395257816968148	0.531047414500508	0.112881901723103	0.486882668759904	0.680098830179003	0.00348646084774025	0.146872869783167	0.171580526812835	0.259251120124588
hsa-mir-106a	0.597926333386998	0.158338626459255	-1.09133481164945	-0.396780254474548	0.117553342981423	0.832156621708742	0.758183866967929	-0.77129157028113	-0.85730417530436
hsa-mir-106b	0.503516597467562	0.89452436136675	1.08516047143465	0.999747688890129	0.800068880544965	1.09535425249548	0.425011476244779	0.90865566637123	-0.227025577954449
hsa-mir-107	0.516773175460555	0.0981637439929634	-0.358715061896746	-0.0935858529363733	0.504068706933202	-0.18938149455669	-0.366690141508392	0.175397632879428	0.116466602576954
hsa-mir-10a	0.179670817741778	-0.449642397011169	-1.43791612585006	-0.0273748307330438	-0.754777437075547	-0.39708382506928	-1.95347825596111	-0.676689675804051	-0.779671020896158
hsa-mir-10b	-1.82497507471379	-1.15987849728849	-1.03907315829278	-1.80745476288132	4.14694656080669	1.66454503092693	0.0227453204230831	-0.732262842655088	-0.294990569708398
hsa-mir-1180	0.352684908835611	0.996929453490009	0.398585445517525	1.02947840487423	1.83575321924771	1.44254275345925	-0.401218575498063	0.350030464964606	-0.182246007971101
hsa-mir-1226	0.979527870317181	1.0928890833211	0.028164786223094	0.86850923454299	1.26708892956813	1.61630197241288	-0.146465352148694	0.361614631541276	0.831194843930698
hsa-mir-1247	-1.6627938170661	-0.78456004025733	-0.132216601500328	-0.61548622154947	-0.79268031563479	-0.29426490386602	-0.296340828913431	-0.243639102626664	-1.11338923894835
hsa-mir-1248	0.705356921124622	1.10680560740842	-0.790166884723361	0.735027545759711	-0.56989691430823	2.40983936602643	0.751686145678667	0.132860081989679	-0.864666092850437
hsa-mir-1249	-0.287278143920518	0.655761712058387	0.906320876154209	0.689992379366353	0.063937406495956	1.73888540913573	0.288485672217617	0.728011596141237	-0.493808223106115
hsa-mir-125a	-0.221517767456711	-0.157560684957253	-0.719222959091854	-0.535346147391137	-0.339329178965664	-0.309271202647164	-0.333657950375498	-1.11079307811036	0.661694327094068
hsa-mir-125b-1	-1.6111327769786	-1.17967340329683	-0.880768470136936	-0.600842880637372	-0.691478399082512	-0.345831630590763	-0.122100126904651	-1.02677732888435	0.529766064348206
