feature	cluster	CMC_score
hsa-mir-3065	PRAD	0.0
hsa-mir-30b	PRAD	3.0
hsa-mir-30c-1	PRAD	4.5
hsa-mir-30c-2	PRAD	4.5
hsa-mir-30d	PRAD	3.0
hsa-mir-30e	PRAD	5.0
hsa-mir-32	PRAD	3.5
hsa-mir-320a	PRAD	2.0
hsa-mir-320b-1	PRAD	0.0
hsa-mir-320b-2	PRAD	0.0
hsa-mir-324	PRAD	3.0
hsa-mir-335	PRAD	3.5
hsa-mir-338	PRAD	1.5
hsa-mir-339	PRAD	1.5
hsa-mir-340	PRAD	0.5
hsa-mir-342	PRAD	3.5
hsa-mir-345	PRAD	2.0
hsa-mir-361	PRAD	1.5
hsa-mir-3613	PRAD	0.0
hsa-mir-362	PRAD	1.5
hsa-mir-363	PRAD	1.0
hsa-mir-375	PRAD	4.0
hsa-mir-379	PRAD	1.0
hsa-mir-381	PRAD	0.0
hsa-mir-409	PRAD	0.0
hsa-mir-423	PRAD	2.5
hsa-mir-425	PRAD	1.5
hsa-mir-454	PRAD	0.0
hsa-mir-491	PRAD	0.0
hsa-mir-497	PRAD	3.5
hsa-mir-500a	PRAD	0.0
hsa-mir-501	PRAD	0.0
hsa-mir-532	PRAD	1.5
hsa-mir-574	PRAD	1.0
hsa-mir-576	PRAD	0.0
hsa-mir-582	PRAD	0.0
hsa-mir-584	PRAD	1.0
hsa-mir-589	PRAD	1.0
hsa-mir-590	PRAD	1.5
hsa-mir-598	PRAD	0.0
hsa-mir-629	PRAD	0.5
hsa-mir-651	PRAD	0.0
hsa-mir-660	PRAD	0.0
hsa-mir-664a	PRAD	1.0
hsa-mir-671	PRAD	0.0
hsa-mir-708	PRAD	1.0
hsa-mir-7-1	PRAD	4.5
hsa-mir-7-2	PRAD	4.5
hsa-mir-7-3	PRAD	4.5
hsa-mir-744	PRAD	0.0
hsa-mir-766	PRAD	0.0
hsa-mir-769	PRAD	1.0
hsa-mir-92a-1	PRAD	4.5
hsa-mir-92a-2	PRAD	4.5
hsa-mir-92b	PRAD	1.0
hsa-mir-93	PRAD	3.0
hsa-mir-95	PRAD	1.0
hsa-mir-96	PRAD	3.5
hsa-let-7a-1	PRAD	4.5
hsa-let-7a-2	PRAD	4.5
hsa-let-7a-3	PRAD	4.5
hsa-let-7b	PRAD	5.0
hsa-let-7d	PRAD	4.0
hsa-let-7g	PRAD	3.0
hsa-let-7i	PRAD	3.5
hsa-mir-103a-1	STAD	3.0
hsa-mir-103a-2	STAD	3.0
hsa-mir-106b	STAD	5.0
hsa-mir-107	STAD	3.0
hsa-mir-1-1	STAD	4.0
hsa-mir-1180	STAD	1.0
hsa-mir-1-2	STAD	4.0
hsa-mir-125a	STAD	4.0
hsa-mir-1266	STAD	0.0
hsa-mir-1269a	STAD	1.0
hsa-mir-127	STAD	1.5
hsa-mir-128-1	STAD	3.5
hsa-mir-128-2	STAD	3.5
hsa-mir-129-1	STAD	2.5
hsa-mir-129-2	STAD	2.5
hsa-mir-1301	STAD	0.0
hsa-mir-1307	STAD	1.0
hsa-mir-130b	STAD	3.0
hsa-mir-132	STAD	2.0
hsa-mir-133a-1	STAD	4.5
hsa-mir-133a-2	STAD	4.5
hsa-mir-133b	STAD	3.0
hsa-mir-134	STAD	1.0
hsa-mir-135b	STAD	2.5
hsa-mir-139	STAD	4.0
hsa-mir-141	STAD	4.5
hsa-mir-142	STAD	4.0
hsa-mir-143	STAD	6.0
hsa-mir-145	STAD	6.0
hsa-mir-146b	STAD	2.5
hsa-mir-148b	STAD	2.0
hsa-mir-151a	STAD	1.5
hsa-mir-155	STAD	5.5
hsa-mir-15a	STAD	5.0
hsa-mir-15b	STAD	4.0
hsa-mir-16-1	STAD	6.0
hsa-mir-16-2	STAD	5.0
hsa-mir-17	STAD	5.0
hsa-mir-181a-1	STAD	5.0
hsa-mir-181a-2	STAD	5.0
hsa-mir-181b-1	STAD	4.0
hsa-mir-181b-2	STAD	4.0
hsa-mir-182	STAD	4.0
hsa-mir-183	STAD	4.5
hsa-mir-185	STAD	1.5
hsa-mir-188	STAD	0.5
hsa-mir-18a	STAD	4.0
hsa-mir-191	STAD	1.5
hsa-mir-192	STAD	3.5
hsa-mir-194-1	STAD	3.5
hsa-mir-194-2	STAD	3.5
hsa-mir-195	STAD	4.5
hsa-mir-196a-1	STAD	1.0
hsa-mir-196a-2	STAD	1.0
hsa-mir-196b	STAD	0.5
hsa-mir-197	STAD	0.0
hsa-mir-199a-1	STAD	5.0
hsa-mir-199a-2	STAD	5.0
hsa-mir-199b	STAD	3.0
hsa-mir-19a	STAD	5.0
hsa-mir-19b-1	STAD	4.0
hsa-mir-19b-2	STAD	4.0
hsa-mir-200a	STAD	4.5
hsa-mir-200b	STAD	4.5
hsa-mir-200c	STAD	4.5
hsa-mir-204	STAD	3.0
hsa-mir-20a	STAD	4.5
hsa-mir-21	STAD	7.0
hsa-mir-212	STAD	1.0
hsa-mir-214	STAD	4.0
hsa-mir-217	STAD	0.5
hsa-mir-22	STAD	2.5
hsa-mir-221	STAD	5.0
hsa-mir-222	STAD	4.5
hsa-mir-223	STAD	4.0
hsa-mir-2355	STAD	1.0
hsa-mir-23a	STAD	3.5
hsa-mir-24-1	STAD	3.0
hsa-mir-24-2	STAD	3.0
hsa-mir-25	STAD	4.0
hsa-mir-27a	STAD	4.0
hsa-mir-28	STAD	3.0
hsa-mir-29a	STAD	4.5
hsa-mir-29b-1	STAD	5.0
hsa-mir-301a	STAD	3.5
hsa-mir-30a	STAD	5.5
hsa-mir-30c-1	STAD	4.5
hsa-mir-30c-2	STAD	4.5
hsa-mir-3127	STAD	0.0
hsa-mir-32	STAD	3.5
hsa-mir-320a	STAD	2.0
hsa-mir-320b-1	STAD	0.0
hsa-mir-320b-2	STAD	0.0
hsa-mir-324	STAD	3.0
hsa-mir-330	STAD	1.0
hsa-mir-331	STAD	2.0
hsa-mir-335	STAD	3.5
hsa-mir-339	STAD	1.5
hsa-mir-342	STAD	3.5
hsa-mir-345	STAD	2.0
hsa-mir-34a	STAD	5.0
hsa-mir-34c	STAD	2.5
hsa-mir-3613	STAD	0.0
hsa-mir-3614	STAD	0.0
hsa-mir-362	STAD	1.5
hsa-mir-365a	STAD	1.5
hsa-mir-3677	STAD	0.0
hsa-mir-369	STAD	0.0
hsa-mir-376b	STAD	0.0
hsa-mir-382	STAD	0.0
hsa-mir-409	STAD	0.0
hsa-mir-421	STAD	1.5
hsa-mir-423	STAD	2.5
hsa-mir-424	STAD	1.5
hsa-mir-425	STAD	1.5
hsa-mir-429	STAD	1.0
hsa-mir-431	STAD	0.0
hsa-mir-450a-1	STAD	0.0
hsa-mir-450a-2	STAD	0.0
hsa-mir-450b	STAD	0.0
hsa-mir-454	STAD	0.0
hsa-mir-485	STAD	0.0
hsa-mir-490	STAD	0.0
hsa-mir-493	STAD	0.0
hsa-mir-500a	STAD	0.0
hsa-mir-500b	STAD	0.0
hsa-mir-501	STAD	0.0
hsa-mir-502	STAD	0.5
hsa-mir-503	STAD	0.5
hsa-mir-505	STAD	0.5
hsa-mir-532	STAD	1.5
hsa-mir-542	STAD	1.0
hsa-mir-550a-1	STAD	0.0
hsa-mir-550a-2	STAD	0.0
hsa-mir-550a-3	STAD	0.0
hsa-mir-552	STAD	0.0
hsa-mir-576	STAD	0.0
hsa-mir-584	STAD	1.0
hsa-mir-589	STAD	1.0
hsa-mir-590	STAD	1.5
hsa-mir-592	STAD	0.0
hsa-mir-615	STAD	1.0
hsa-mir-629	STAD	0.5
hsa-mir-651	STAD	0.0
hsa-mir-652	STAD	0.0
hsa-mir-660	STAD	0.0
hsa-mir-671	STAD	0.0
hsa-mir-708	STAD	1.0
hsa-mir-7-1	STAD	4.5
hsa-mir-7-2	STAD	4.5
hsa-mir-7-3	STAD	4.5
hsa-mir-769	STAD	1.0
hsa-mir-877	STAD	0.0
hsa-mir-92a-1	STAD	4.5
hsa-mir-92a-2	STAD	4.5
hsa-mir-92b	STAD	1.0
hsa-mir-93	STAD	3.0
hsa-mir-935	STAD	0.0
hsa-mir-937	STAD	0.0
hsa-mir-942	STAD	1.0
hsa-mir-95	STAD	1.0
hsa-mir-96	STAD	3.5
hsa-mir-98	STAD	2.0
hsa-let-7a-1	STAD	4.5
hsa-let-7a-2	STAD	4.5
hsa-let-7a-3	STAD	4.5
hsa-let-7d	STAD	4.0
hsa-let-7f-1	STAD	4.0
hsa-let-7f-2	STAD	4.0
hsa-let-7i	STAD	3.5
hsa-mir-100	THCA	5.0
hsa-mir-101-1	THCA	6.0
hsa-mir-101-2	THCA	6.0
hsa-mir-106a	THCA	2.0
hsa-mir-106b	THCA	5.0
hsa-mir-10a	THCA	3.0
hsa-mir-10b	THCA	5.0
hsa-mir-1180	THCA	1.0
hsa-mir-1247	THCA	0.0
hsa-mir-1249	THCA	0.0
hsa-mir-126	THCA	5.0
hsa-mir-127	THCA	1.5
hsa-mir-1270	THCA	0.0
hsa-mir-1271	THCA	1.0
hsa-mir-128-1	THCA	3.5
hsa-mir-128-2	THCA	3.5
hsa-mir-1287	THCA	0.0
hsa-mir-130a	THCA	2.5
hsa-mir-130b	THCA	3.0
hsa-mir-133a-1	THCA	4.5
hsa-mir-133a-2	THCA	4.5
hsa-mir-133b	THCA	3.0
hsa-mir-134	THCA	1.0
hsa-mir-135b	THCA	2.5
hsa-mir-136	THCA	0.5
hsa-mir-138-1	THCA	2.0
hsa-mir-138-2	THCA	2.0
hsa-mir-139	THCA	4.0
hsa-mir-140	THCA	4.0
hsa-mir-142	THCA	4.0
hsa-mir-143	THCA	6.0
hsa-mir-144	THCA	3.0
hsa-mir-145	THCA	6.0
hsa-mir-146b	THCA	2.5
hsa-mir-148a	THCA	3.0
hsa-mir-148b	THCA	2.0
hsa-mir-150	THCA	4.0
hsa-mir-152	THCA	3.0
hsa-mir-153-1	THCA	0.5
hsa-mir-153-2	THCA	0.5
hsa-mir-154	THCA	0.5
hsa-mir-15a	THCA	5.0
hsa-mir-15b	THCA	4.0
hsa-mir-16-1	THCA	6.0
hsa-mir-16-2	THCA	5.0
hsa-mir-17	THCA	5.0
hsa-mir-181a-1	THCA	5.0
hsa-mir-181a-2	THCA	5.0
hsa-mir-181b-1	THCA	4.0
hsa-mir-181b-2	THCA	4.0
hsa-mir-181d	THCA	1.5
hsa-mir-182	THCA	4.0
hsa-mir-183	THCA	4.5
hsa-mir-185	THCA	1.5
hsa-mir-186	THCA	0.5
hsa-mir-187	THCA	0.0
hsa-mir-18a	THCA	4.0
hsa-mir-190a	THCA	0.0
hsa-mir-192	THCA	3.5
hsa-mir-193a	THCA	2.5
hsa-mir-193b	THCA	3.0
hsa-mir-194-1	THCA	3.5
hsa-mir-194-2	THCA	3.5
hsa-mir-195	THCA	4.5
hsa-mir-199a-1	THCA	5.0
hsa-mir-199a-2	THCA	5.0
hsa-mir-199b	THCA	3.0
hsa-mir-19b-1	THCA	4.0
hsa-mir-19b-2	THCA	4.0
hsa-mir-204	THCA	3.0
hsa-mir-20b	THCA	0.5
hsa-mir-21	THCA	7.0
hsa-mir-214	THCA	4.0
hsa-mir-215	THCA	2.0
hsa-mir-218-1	THCA	3.0
hsa-mir-218-2	THCA	3.0
hsa-mir-221	THCA	5.0
hsa-mir-222	THCA	4.5
hsa-mir-223	THCA	4.0
hsa-mir-224	THCA	3.5
hsa-mir-23b	THCA	3.0
hsa-mir-24-2	THCA	3.0
hsa-mir-25	THCA	4.0
hsa-mir-26a-1	THCA	6.0
hsa-mir-26a-2	THCA	6.0
hsa-mir-26b	THCA	3.5
hsa-mir-27a	THCA	4.0
hsa-mir-28	THCA	3.0
hsa-mir-29b-2	THCA	5.0
hsa-mir-29c	THCA	6.0
hsa-mir-3065	THCA	0.0
hsa-mir-30a	THCA	5.5
hsa-mir-30b	THCA	3.0
hsa-mir-30c-1	THCA	4.5
hsa-mir-30c-2	THCA	4.5
hsa-mir-30e	THCA	5.0
hsa-mir-31	THCA	5.0
hsa-mir-3127	THCA	0.0
hsa-mir-3130-1	THCA	0.0
hsa-mir-3130-2	THCA	0.0
hsa-mir-320b-1	THCA	0.0
hsa-mir-320b-2	THCA	0.0
hsa-mir-326	THCA	1.0
hsa-mir-330	THCA	1.0
hsa-mir-331	THCA	2.0
hsa-mir-337	THCA	1.5
hsa-mir-339	THCA	1.5
hsa-mir-33b	THCA	0.0
hsa-mir-342	THCA	3.5
hsa-mir-345	THCA	2.0
hsa-mir-34a	THCA	5.0
hsa-mir-34c	THCA	2.5
hsa-mir-361	THCA	1.5
hsa-mir-362	THCA	1.5
hsa-mir-363	THCA	1.0
hsa-mir-365a	THCA	1.5
hsa-mir-369	THCA	0.0
hsa-mir-374a	THCA	0.0
hsa-mir-374b	THCA	0.0
hsa-mir-375	THCA	4.0
hsa-mir-379	THCA	1.0
hsa-mir-381	THCA	0.0
hsa-mir-409	THCA	0.0
hsa-mir-411	THCA	0.0
hsa-mir-425	THCA	1.5
hsa-mir-451a	THCA	4.5
hsa-mir-454	THCA	0.0
hsa-mir-455	THCA	2.5
hsa-mir-486-1	THCA	2.0
hsa-mir-486-2	THCA	2.0
hsa-mir-491	THCA	0.0
hsa-mir-495	THCA	1.0
hsa-mir-497	THCA	3.5
hsa-mir-500a	THCA	0.0
hsa-mir-500b	THCA	0.0
hsa-mir-501	THCA	0.0
hsa-mir-502	THCA	0.5
hsa-mir-503	THCA	0.5
hsa-mir-505	THCA	0.5
hsa-mir-508	THCA	0.0
hsa-mir-509-1	THCA	0.5
hsa-mir-509-2	THCA	0.5
hsa-mir-509-3	THCA	0.5
hsa-mir-514a-1	THCA	0.0
hsa-mir-514a-2	THCA	0.0
hsa-mir-514a-3	THCA	0.0
hsa-mir-532	THCA	1.5
hsa-mir-548b	THCA	0.0
hsa-mir-550a-1	THCA	0.0
hsa-mir-550a-2	THCA	0.0
hsa-mir-550a-3	THCA	0.0
hsa-mir-551b	THCA	0.0
hsa-mir-574	THCA	1.0
hsa-mir-576	THCA	0.0
hsa-mir-577	THCA	0.0
hsa-mir-582	THCA	0.0
hsa-mir-584	THCA	1.0
hsa-mir-624	THCA	0.0
hsa-mir-628	THCA	0.0
hsa-mir-651	THCA	0.0
hsa-mir-652	THCA	0.0
hsa-mir-654	THCA	0.0
hsa-mir-660	THCA	0.0
hsa-mir-664a	THCA	1.0
hsa-mir-675	THCA	0.0
hsa-mir-676	THCA	0.0
hsa-mir-708	THCA	1.0
hsa-mir-7-1	THCA	4.5
hsa-mir-7-2	THCA	4.5
hsa-mir-7-3	THCA	4.5
hsa-mir-744	THCA	0.0
hsa-mir-873	THCA	0.0
hsa-mir-874	THCA	1.0
hsa-mir-887	THCA	0.0
hsa-mir-889	THCA	0.0
hsa-mir-9-1	THCA	4.5
hsa-mir-9-2	THCA	4.5
hsa-mir-92a-1	THCA	4.5
hsa-mir-942	THCA	1.0
hsa-mir-96	THCA	3.5
hsa-mir-99a	THCA	5.0
hsa-let-7a-1	THCA	4.5
hsa-let-7a-2	THCA	4.5
hsa-let-7a-3	THCA	4.5
hsa-let-7b	THCA	5.0
hsa-let-7c	THCA	5.0
hsa-let-7e	THCA	3.5
hsa-let-7i	THCA	3.5
hsa-mir-100	UCEC	5.0
hsa-mir-101-1	UCEC	6.0
hsa-mir-101-2	UCEC	6.0
hsa-mir-103a-1	UCEC	3.0
hsa-mir-103a-2	UCEC	3.0
hsa-mir-106a	UCEC	2.0
hsa-mir-106b	UCEC	5.0
hsa-mir-107	UCEC	3.0
hsa-mir-10b	UCEC	5.0
hsa-mir-1-1	UCEC	4.0
hsa-mir-1-2	UCEC	4.0
hsa-mir-1247	UCEC	0.0
hsa-mir-125a	UCEC	4.0
hsa-mir-126	UCEC	5.0
hsa-mir-1266	UCEC	0.0
hsa-mir-128-1	UCEC	3.5
hsa-mir-128-2	UCEC	3.5
hsa-mir-1296	UCEC	1.0
hsa-mir-1301	UCEC	0.0
hsa-mir-1307	UCEC	1.0
hsa-mir-130b	UCEC	3.0
hsa-mir-133a-1	UCEC	4.5
hsa-mir-133a-2	UCEC	4.5
hsa-mir-133b	UCEC	3.0
hsa-mir-135b	UCEC	2.5
hsa-mir-139	UCEC	4.0
hsa-mir-140	UCEC	4.0
hsa-mir-141	UCEC	4.5
hsa-mir-142	UCEC	4.0
hsa-mir-143	UCEC	6.0
hsa-mir-145	UCEC	6.0
hsa-mir-148b	UCEC	2.0
hsa-mir-151a	UCEC	1.5
hsa-mir-15a	UCEC	5.0
hsa-mir-15b	UCEC	4.0
hsa-mir-16-1	UCEC	6.0
hsa-mir-16-2	UCEC	5.0
hsa-mir-17	UCEC	5.0
hsa-mir-181a-1	UCEC	5.0
hsa-mir-181a-2	UCEC	5.0
hsa-mir-181b-1	UCEC	4.0
hsa-mir-181b-2	UCEC	4.0
hsa-mir-181c	UCEC	2.5
hsa-mir-181d	UCEC	1.5
hsa-mir-182	UCEC	4.0
hsa-mir-183	UCEC	4.5
hsa-mir-185	UCEC	1.5
hsa-mir-186	UCEC	0.5
hsa-mir-188	UCEC	0.5
hsa-mir-18a	UCEC	4.0
hsa-mir-191	UCEC	1.5
hsa-mir-192	UCEC	3.5
hsa-mir-193b	UCEC	3.0
hsa-mir-194-1	UCEC	3.5
hsa-mir-194-2	UCEC	3.5
hsa-mir-195	UCEC	4.5
hsa-mir-196b	UCEC	0.5
hsa-mir-197	UCEC	0.0
hsa-mir-19a	UCEC	5.0
hsa-mir-19b-1	UCEC	4.0
hsa-mir-19b-2	UCEC	4.0
hsa-mir-200a	UCEC	4.5
hsa-mir-200b	UCEC	4.5
hsa-mir-200c	UCEC	4.5
hsa-mir-203a	UCEC	4.5
hsa-mir-205	UCEC	5.0
hsa-mir-20a	UCEC	4.5
hsa-mir-20b	UCEC	0.5
hsa-mir-21	UCEC	7.0
hsa-mir-210	UCEC	3.5
hsa-mir-215	UCEC	2.0
hsa-mir-219a-1	UCEC	0.0
hsa-mir-22	UCEC	2.5
hsa-mir-224	UCEC	3.5
hsa-mir-23a	UCEC	3.5
hsa-mir-24-1	UCEC	3.0
hsa-mir-24-2	UCEC	3.0
hsa-mir-25	UCEC	4.0
hsa-mir-27a	UCEC	4.0
hsa-mir-29a	UCEC	4.5
hsa-mir-29c	UCEC	6.0
hsa-mir-301a	UCEC	3.5
hsa-mir-301b	UCEC	0.0
hsa-mir-3065	UCEC	0.0
hsa-mir-3127	UCEC	0.0
hsa-mir-32	UCEC	3.5
hsa-mir-3200	UCEC	0.0
hsa-mir-320b-1	UCEC	0.0
hsa-mir-320b-2	UCEC	0.0
hsa-mir-324	UCEC	3.0
hsa-mir-330	UCEC	1.0
hsa-mir-331	UCEC	2.0
hsa-mir-339	UCEC	1.5
hsa-mir-33b	UCEC	0.0
hsa-mir-340	UCEC	0.5
hsa-mir-342	UCEC	3.5
hsa-mir-345	UCEC	2.0
hsa-mir-3605	UCEC	0.0
hsa-mir-3613	UCEC	0.0
hsa-mir-363	UCEC	1.0
hsa-mir-3677	UCEC	0.0
hsa-mir-375	UCEC	4.0
hsa-mir-379	UCEC	1.0
hsa-mir-381	UCEC	0.0
hsa-mir-421	UCEC	1.5
hsa-mir-423	UCEC	2.5
hsa-mir-425	UCEC	1.5
hsa-mir-429	UCEC	1.0
hsa-mir-452	UCEC	0.0
hsa-mir-454	UCEC	0.0
hsa-mir-455	UCEC	2.5
hsa-mir-491	UCEC	0.0
hsa-mir-500a	UCEC	0.0
hsa-mir-501	UCEC	0.0
hsa-mir-505	UCEC	0.5
hsa-mir-532	UCEC	1.5
hsa-mir-542	UCEC	1.0
hsa-mir-550a-1	UCEC	0.0
hsa-mir-550a-2	UCEC	0.0
hsa-mir-550a-3	UCEC	0.0
hsa-mir-576	UCEC	0.0
hsa-mir-577	UCEC	0.0
hsa-mir-589	UCEC	1.0
hsa-mir-590	UCEC	1.5
hsa-mir-592	UCEC	0.0
hsa-mir-616	UCEC	0.0
hsa-mir-624	UCEC	0.0
hsa-mir-629	UCEC	0.5
hsa-mir-651	UCEC	0.0
hsa-mir-652	UCEC	0.0
hsa-mir-653	UCEC	0.0
hsa-mir-671	UCEC	0.0
hsa-mir-676	UCEC	0.0
hsa-mir-7-1	UCEC	4.5
hsa-mir-7-2	UCEC	4.5
hsa-mir-7-3	UCEC	4.5
hsa-mir-744	UCEC	0.0
hsa-mir-760	UCEC	0.0
hsa-mir-766	UCEC	0.0
hsa-mir-769	UCEC	1.0
hsa-mir-877	UCEC	0.0
hsa-mir-9-1	UCEC	4.5
hsa-mir-9-2	UCEC	4.5
hsa-mir-92a-1	UCEC	4.5
hsa-mir-92a-2	UCEC	4.5
hsa-mir-92b	UCEC	1.0
hsa-mir-93	UCEC	3.0
hsa-mir-9-3	UCEC	4.5
hsa-mir-937	UCEC	0.0
hsa-mir-942	UCEC	1.0
hsa-mir-96	UCEC	3.5
hsa-mir-98	UCEC	2.0
hsa-mir-99a	UCEC	5.0
hsa-mir-99b	UCEC	2.0
hsa-let-7a-1	UCEC	4.5
hsa-let-7a-2	UCEC	4.5
hsa-let-7a-3	UCEC	4.5
hsa-let-7d	UCEC	4.0
hsa-let-7f-1	UCEC	4.0
hsa-let-7f-2	UCEC	4.0
hsa-let-7g	UCEC	3.0
